sekolah_id,nama_sekolah
80b1d857-013c-e111-8a08-7f600b35679b,SD NEGERI 8 LAKEA
c0f74e58-013c-e111-88ce-9329d722115f,SD NEGERI 12 LIMRAN
15e9be35-8f6e-46ee-bcdd-16e50c721956,SMA NEGERI BULAGI UTARA
2059dd58-013c-e111-b5b1-abf36168d352,SMP YPST PORAME
a01b3957-013c-e111-a79b-87c0f8fd7122,SD INPRES SAMPAKA
e06afd57-013c-e111-8909-7905cb92c44d,SD NEGERI SAMARENGGA
8067e558-013c-e111-b04a-03fb3b7bfa8f,SMP ALKHAIRAAT 1 PALU
90f7fa57-013c-e111-9e7a-cf90314de21c,SD NEGERI 2 LINGADAN
2c8e5ebf-9211-48e6-b5d7-522bb9fdb5bc,SMA Negeri 2 BIAU
90b64557-013c-e111-858d-bba8d3193f92,SD INPRES LOLANTANG
a036d858-013c-e111-b53b-53159d09e17b,SMP NEGERI 1 TOJO BARAT
d0423d58-013c-e111-9db6-0b2a1ab9c92d,SD NEGERI 13 RATOLINDO
e9b71076-a1e9-44b8-aaf6-ab2a6d44ef45,MIS NAHDLATUT THALABAH
e0f8be58-013c-e111-8e22-d9588cfcd837,SMP NEGERI 4 LUWUK
be128bf2-9c3d-4362-8d1f-fa44f369cf37,MIS DDI KABERA
404a2258-013c-e111-8080-6d4715d50e0c,SD INPRES 2 AMBESIA
30c64558-013c-e111-84aa-895bccf46e7b,SD NEGERI 2 PALU
0030bb58-013c-e111-8a51-93edb537f213,SMP NEGERI 1 PAMONA TIMUR
105959d1-61da-e111-9337-ebff064d826d,SD NEGERI WERE A
80bcc658-013c-e111-ab51-c39723eca750,SMP NEGERI 3 PALELEH
50fd6157-013c-e111-9751-f1e92913a2a2,SD NEGERI TONDO G
c08cb058-013c-e111-a5bf-1f1a23b85e8b,SMP NEGERI 2 LABUAN
ce08b38f-cbee-4a54-a0ff-8831e3ca91c7,SMP NEGERI 4 LEMBO
a0042e58-013c-e111-808f-c732814e7422,SD KECIL PIMPIT
a29e6445-751b-4259-a5bd-e60f854c3203,MIN 2 KOTA PALU
a09b7e2f-c8b6-4793-b257-581c647c94e5,MTSS WANAMUKTI
80618057-013c-e111-9a24-f70b1c0c2026,SDN 9 SOJOL
61d1e4f4-ab98-4c36-b9f2-1b6b9d314dbb,SMP ISLAM TERPADU AL-WAHDAH
408f7c57-013c-e111-b041-f308d9fa1c51,SDN 17 BALAESANG TANJUNG
302e7057-013c-e111-8415-f15dcdd0e808,SDN 8 BANAWA TENGAH
c076d458-013c-e111-8bd6-a595cc163e1f,SMP NEGERI 2 KASIMBAR
0301fb0f-dedb-45bc-bd51-e1adf73ae891,SMAN 1 BUNGKU PESISIR
f0dc572d-38f3-e111-9495-e96f0872f36f,SD INPRES 3 BOLAPAPU
50550f58-013c-e111-b403-1f60de976f27,SD NEGERI 1 BAHOMAKMUR
70583758-013c-e111-a5e9-f7597a65aacf,SD NEGERI BONGKA MAKMUR
80e73457-013c-e111-8207-83ed6f3b0d55,SD INPRES 3 BANGGAI
c06d3a57-013c-e111-91bf-3d43448ed19d,SD INPRES KAMPUNG BARU
20d92658-013c-e111-a9c1-995bcefd8282,SD INPRES 1 KOTANAGAYA
d0fae358-013c-e111-89cb-49188a10db92,SMP MUHAMMADIYAH 1 PARIGI TENGAH
c07e1b58-013c-e111-ac9a-5fdbc7da17db,SD INPRES 2 LEMO
2012b757-013c-e111-b2bb-b94223caa52e,SD INPRES KM 8
f06ddd58-013c-e111-b1ed-019d8e292fe3,SMP BALA KESELAMATAN MARANATHA
e0275557-013c-e111-801e-eb53ef810d01,SD NEGERI MARADINDO
400d0346-642d-e211-830e-1d4429ffb48a,SMPN SATAP 7 DAMPELAS
9001105d-e7fe-e111-9dbf-0375a958c49c,SMP NEGERI 4 TOILI BARAT
6081ee57-013c-e111-a1bb-cf23e0a6fed1,SD NEGERI 3 SONI
c010f357-013c-e111-bed6-d31f947ad254,SD NEGERI KABETAN
d040ee57-013c-e111-834b-2fd79fbdfc71,SD NEGERI PALEMBANG
721f5b08-6080-4966-a404-8c8cfc50eb3a,SMPN 7 BUALEMO
c07cdc57-013c-e111-a68d-11494081ee57,SD NEGERI 16 BOKAT
91d2d072-7b45-4f87-a065-935d7ce1eefb,SMP NEGERI 32 SIGI
f0ca20ac-d861-491f-b1d1-fa85657d3172,SMAN 1 BANGGAI
0068b451-f9fe-e111-bcf2-0fce6e390326,SMP NEGERI 3 WALEA KEPULAUAN
c0641c58-013c-e111-841b-d7bf70f79a54,SD NEGERI DUSUNAN
e0b86591-69e7-e111-a2b3-331ae33a639f,SMP NEGERI 2 WALEA BESAR
aebba015-79ff-472f-8210-b37079c52b20,Data sekolah kosong (ID tidak aktif/invalid)
30773365-2cf7-e111-b3f6-49efdbcac39f,SMP AL AZHAR
20c6eb57-013c-e111-a6df-29d474755070,SD NEGERI 12 TOLITOLI
60254858-013c-e111-a66c-0905b1db2297,SDN INPRES SILAE
00b78857-013c-e111-92a5-8f70b904752f,SDN 10 BANAWA SELATAN
6053a057-013c-e111-af05-853da527929e,SD NEGERI 5 POSO
40d1f157-013c-e111-9f2f-176a47f972a8,SD NEGERI 1 BAMBAPUN
50ff6088-4cdf-e111-b5ee-8f00bec43e39,SD SMP SATU ATAP OGOSIPAT
60762158-013c-e111-ad14-d391fa81436a,SD INPRES 1 BOBALO
20f4c577-eafe-e111-bd1b-432ededdcb5f,SMPN SATAP 6 SOJOL
b07ff257-013c-e111-9ed7-b50b5929bb5b,SD NEGERI JANJA
40577e4b-eefe-e111-a6f1-cd44f8c73500,SDIT PERMATA ISLAM 2 
101ab758-013c-e111-afae-9923f2f66fbe,SMP NEGERI 5 DAMPELAS
a0d86dc3-157d-4935-9e9c-8e879fc7feef,PPS Raudhatul Musthafa Lil Khairaat
f087d857-013c-e111-9b9a-857a3522a9f7,SD NEGERI 3 LAKEA
20cabc58-013c-e111-81e6-93e936997968,SMP NEGERI 1 TOILI
60fdc377-eafe-e111-bc98-d1901c562308,SMP NEGERI 5 Sindue
20246658-013c-e111-bebf-29ff141c7f9f,SD ALKHAIRAAT TONDO
c0d3b158-013c-e111-85c4-d79e274e039f,SMP NEGERI 2 SIGI
9b998ef6-8504-4c28-9391-45799f9ac7bb,SMKN 1 WITA PONDA
70ebca58-013c-e111-be91-3f2f45f151c2,SMP NEGERI 7 OGODEIDE
f791f3a4-e23d-436e-88d2-6490c55828ee,SMP SATAP NEGERI 24 SIGI
50b92758-013c-e111-b729-dde5cf0252fd,SD INPRES BAJO
a0244f58-013c-e111-a1ce-f11270ecb7b5,SD NEGERI 2 PANAU
f093d958-013c-e111-b815-9daa515fa04f,SMP NEGERI 12 PALU
10516088-4cdf-e111-8732-45f82fed6e11,SMP NEGERI 6 DONDO
e04d8057-013c-e111-8072-a9c1926ce1a1,SDN 25 BALAESANG
90a4da57-013c-e111-9a08-f9ead37c7031,SD NEGERI 19 BIAU
50bb3aa5-71ad-e211-ab01-cbfd6b67fc7c,SMP NEGERI 1 SOJOL UTARA
127b596a-3d2b-4e1d-a74c-1e618a591bb4,UPTD SMKN 1 SARJO
00c98257-013c-e111-b186-2d048a6d346e,SDN 27 SOJOL
f74d4a4e-77fd-44e1-ad17-d5e61fd00670,MTSS ALKHAIRAAT PULU
f00e1a58-013c-e111-a516-73fbc4ede5ed,SD INPRES 1 PARANGGI
c4b06ce1-630d-49d7-87f9-34d8a7380e38,SMAN 1 BULAGI SELATAN
a0ecd757-013c-e111-b8cc-e99afecfe527,SD NEGERI 9 KARAMAT 
805a2358-013c-e111-9759-ef9cfb77aaed,SD NEGERI 5 TERPENCIL PALASA
e05c3458-013c-e111-8cf1-2953c6430f75,SD INPRES 3 TORIBULU
802f4e58-013c-e111-a56a-49b40b89d640,SD INPRES 1 TALISE
206b0958-013c-e111-99a4-af29b93baf6e,SD NEGERI 2 KOLONODALE
4064f157-013c-e111-ace4-519d7ea8d0e5,SD NEGERI ANGGASAN
2036da58-013c-e111-8092-f9115f762062,SMP NEGERI 17 PALU
70bc79d0-6585-e111-be1e-4547b5a0d9ff,SD NEGERI 03 DULUPI
46350726-1ffe-43f7-a174-7abe75da8463,SMAN 1 LORE UTARA
8d6d077d-b68a-4fd5-90ac-6a25131fdf35,SMKN 1 PARIGI SELATAN
3c6efedd-8fbb-4f6e-aa42-a578c31a8b72,SDN 2 KALORA
400e8357-013c-e111-8353-df7b66323978,SDN 6 DAMPELAS
608b8857-013c-e111-bb55-f9184669a6bb,SDN 24 BANAWA SELATAN
e08f0c58-013c-e111-a08d-9f66cce966f0,SD NEGERI LOSONG
1669bb3d-61a1-4de6-acbb-53736e126dbb,MTSS ALKHAIRAAT LUWUK
8042f257-013c-e111-965d-078602f29ba9,SD NEGERI 2 SALUMBIA
1091cc58-013c-e111-81ce-438a11bd803f,SMP NEGERI 1 OGODEIDE
bc4123cb-5c81-4f66-9f30-1d029557447f,MIS ALKHAIRAAT TADA
102ddc57-013c-e111-afb1-5bb5f542ba8e,SD NEGERI 12 BOKAT
e03eed57-013c-e111-8261-aded9029bb11,SD NEGERI 3 KOMBO
10c18e57-013c-e111-af63-4fa57312ec5d,SD INPRES 3 BALUASE
20084057-013c-e111-af92-07c4012111f1,SD NEGERI ALUL
c028dc58-013c-e111-bf77-1fa46372dd10,SMP DDI KAUKES
c028be58-013c-e111-a908-8ba10d34d789,SMP NEGERI 3 BUNTA
a0a1b058-013c-e111-8110-b51100023ad5,SMP NEGERI 3 SINDUE
5093f457-013c-e111-b451-71bef4247059,SD NEGERI 3 TOLITOLI
20166758-013c-e111-a5e6-9930136e18f3,SD BALA KESELAMATAN GIMPUBIA
80dc2bfa-f0fe-e111-aa2f-9d4460da8df6,SMPN 3 TILOAN
e04c6f57-013c-e111-af23-89216e33fa1d,SDN 3 BANAWA SELATAN
c0091858-013c-e111-b614-49b6401a167d,SD INPRES 2 PARIGIMPUU
000ef157-013c-e111-bb8c-9fe16f6e38db,SD NEGERI OGOGILI
008dc777-eafe-e111-91af-9d2e2c032ed3,SMP NEGERI 8 Satap Mbuwu Banawa Selatan
e0ae1e58-013c-e111-8131-c78c2a35526a,SD INPRES 1 DUSUNAN
fa9fb3b4-1bf8-4004-94cf-58ea327ebdd3,SMK JANUR PERSADA SIGI
a6662ac7-1f4c-409c-b15a-252c22cf92f9,SD Negeri Dongi-Dongi
804ae757-013c-e111-8995-05e43733650d,SD NEGERI 12 GADUNG
20f7f457-013c-e111-85a1-f34f6a7b6bca,SD NEGERI PERCONTOHAN
d234d2bd-38ae-4884-97d2-12ed6a9059f0,SMKS ALKHAIRAAT PALU
c01b3058-013c-e111-8d8d-f7ae9352b2f4,SD INPRES 3 TADA
8092e157-013c-e111-83f5-c59a0e3c3900,SD NEGERI 5 BIAU
799e9370-23d3-4d2c-868a-d565edda446b,MIS DDI BUNGKU
704a3f58-013c-e111-875c-79f65bc9645b,SD NEGERI SIATU
000916ba-8c18-e111-9b9f-f768aea5436d,SMP AL KHAIRIYAH
003b1958-013c-e111-8e36-0f9d800cc544,SD NEGERI BURANGA
9d3808db-8254-4d9c-b2f6-008d89f6c00d,MAN 1 PARIGI
20351858-013c-e111-a96e-69408c1f02d0,SD INPRES KAYUBOKO
90ed5a57-013c-e111-b448-a1ff683064db,SD NEGERI 3 DOLO
c0f89757-013c-e111-b3ae-776c00f487b5,SD NEGERI SANGIRA
00834d58-013c-e111-9fb7-d15ed5a08d9c,SD NEGERI POBOYA
20e17b57-013c-e111-9b85-17d3528158be,SDN 15 BALAESANG
e0ba3158-013c-e111-afb0-e94a2451d778,SD NEGERI BUGIS
806dc077-eafe-e111-94b5-1bf107949225,SDN 19 BALAESANG TANJUNG
0015db57-013c-e111-bc38-f777a171d871,SD NEGERI 12 MOMUNU
80e21c58-013c-e111-aa40-9f336bda65ab,SD NEGERI 2 SIDOAN
b985e94f-36e6-4313-9fb0-45cb23e26e2b,SMKN 1 TAOPA
c087f357-013c-e111-8fa3-6d8f4cbaa7d3,SD NEGERI 3 KAMALU
c0e41958-013c-e111-946c-f94b1afc06eb,SD NEGERI TOGA
9487f093-13dc-4809-8b77-c913295eae72,SMAN 1 MOMUNU
e0954f58-013c-e111-bb9f-09803c179ac3,SD NEGERI 7 TAIPA
10c42658-013c-e111-84a4-3da3deec4c89,SD INPRES 1 WANAGADING
90752871-6641-4654-bfa3-73c0dedffe98,SMAN 1 ULUBONGKA
c038f357-013c-e111-bf60-1b93dd9b2edb,Sekolah Dasar Negeri 1 Buga
40471758-013c-e111-badb-fd19cffe2d31,SD INPRES DOLAGO
c0b0e357-013c-e111-b8d9-379f330850e1,SD NEGERI 9 TILOAN
5c063882-9f19-4c95-8c73-822144912be9,SMP NEGERI 2 SOJOL
72f6825e-4cff-4d9e-bde6-463b8ee0b2f8,MTSS DDI TOSALE
d0dbcf58-013c-e111-bcea-5d5c807e244b,SMP NEGERI 1 PETASIA TIMUR
70de3258-013c-e111-801a-6ba308b96d3a,SD NEGERI DOLAGO
10f90058-013c-e111-b5ed-4fb971653500,SD NEGERI UMBELE
e0cb3958-013c-e111-b2a6-293d53a7f270,SD NEGERI PAYOMPO
d0041258-013c-e111-b5d2-c5fa37ba8867,SD NEGERI 1 TANANAGAYA
a05a1e58-013c-e111-8df8-0d47b1ea458d,SD INPRES 3 SIDOAN
856bd0f0-b684-4d80-8c1f-ac601bd1b2ff,SMP Negeri 6 Gadung
